ingredient_a,ingredient_b,level,label,reason,source,verified
레티닐레티노에이트,살리실릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐레티노에이트,타타릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
하이드록시피나콜론레티노에이트,글라이콜릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
하이드록시피나콜론레티노에이트,락틱애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
하이드록시피나콜론레티노에이트,만델릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
하이드록시피나콜론레티노에이트,살리실릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
하이드록시피나콜론레티노에이트,타타릭애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 각질 정리 산을 함께 바르면 자극이 겹쳐 피부가 예민해지기 쉬워요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,아스코빅애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 순수 비타민C를 함께 바르면 자극이 겹칠 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,아스코빅애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 순수 비타민C를 함께 바르면 자극이 겹칠 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐레티노에이트,아스코빅애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 순수 비타민C를 함께 바르면 자극이 겹칠 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
하이드록시피나콜론레티노에이트,아스코빅애씨드,AVOID,같이 쓰지 마세요,레티놀 계열과 순수 비타민C를 함께 바르면 자극이 겹칠 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,레티닐팔미테이트,AVOID,같이 쓰지 마세요,레티놀 계열끼리 겹쳐 바르면 자극이 커져요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,레티닐레티노에이트,AVOID,같이 쓰지 마세요,레티놀 계열끼리 겹쳐 바르면 자극이 커져요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티놀,하이드록시피나콜론레티노에이트,AVOID,같이 쓰지 마세요,레티놀 계열끼리 겹쳐 바르면 자극이 커져요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,레티닐레티노에이트,AVOID,같이 쓰지 마세요,레티놀 계열끼리 겹쳐 바르면 자극이 커져요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐팔미테이트,하이드록시피나콜론레티노에이트,AVOID,같이 쓰지 마세요,레티놀 계열끼리 겹쳐 바르면 자극이 커져요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
레티닐레티노에이트,하이드록시피나콜론레티노에이트,AVOID,같이 쓰지 마세요,레티놀 계열끼리 겹쳐 바르면 자극이 커져요. 오늘은 하나만 쓰세요.,The Ordinary 공식 레티노이드 가이드 https://theordinary.com/en-us/blog/definitive-guide-using-retinoids.html,true
아스코빅애씨드,글라이콜릭애씨드,AVOID,같이 쓰지 마세요,순수 비타민C와 각질 정리 산이 겹치면 따가움이 커질 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 비타민C 가이드 https://theordinary.com/en-us/vitamin-c-guide.html,true
아스코빅애씨드,락틱애씨드,AVOID,같이 쓰지 마세요,순수 비타민C와 각질 정리 산이 겹치면 따가움이 커질 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 비타민C 가이드 https://theordinary.com/en-us/vitamin-c-guide.html,true
아스코빅애씨드,만델릭애씨드,AVOID,같이 쓰지 마세요,순수 비타민C와 각질 정리 산이 겹치면 따가움이 커질 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 비타민C 가이드 https://theordinary.com/en-us/vitamin-c-guide.html,true
아스코빅애씨드,살리실릭애씨드,AVOID,같이 쓰지 마세요,순수 비타민C와 각질 정리 산이 겹치면 따가움이 커질 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 비타민C 가이드 https://theordinary.com/en-us/vitamin-c-guide.html,true
아스코빅애씨드,타타릭애씨드,AVOID,같이 쓰지 마세요,순수 비타민C와 각질 정리 산이 겹치면 따가움이 커질 수 있어요. 오늘은 하나만 쓰세요.,The Ordinary 공식 비타민C 가이드 https://theordinary.com/en-us/vitamin-c-guide.html,true
세라마이드엔피,콜레스테롤,GOOD,함께 쓰면 좋아요,장벽 지질은 한 가지만 발라선 오히려 회복이 더뎌요. 세라마이드와 콜레스테롤이 같이 있어야 제 역할을 해요.,"Man MQ, Feingold KR, Thornfeldt CR, Elias PM. J Invest Dermatol. 1996;106(5):1096-1101. PMID 8618046",true
세라마이드엔에스,콜레스테롤,GOOD,함께 쓰면 좋아요,장벽 지질은 한 가지만 발라선 오히려 회복이 더뎌요. 세라마이드와 콜레스테롤이 같이 있어야 제 역할을 해요.,"Man MQ, Feingold KR, Thornfeldt CR, Elias PM. J Invest Dermatol. 1996;106(5):1096-1101. PMID 8618046",true
세라마이드에이피,콜레스테롤,GOOD,함께 쓰면 좋아요,장벽 지질은 한 가지만 발라선 오히려 회복이 더뎌요. 세라마이드와 콜레스테롤이 같이 있어야 제 역할을 해요.,"Man MQ, Feingold KR, Thornfeldt CR, Elias PM. J Invest Dermatol. 1996;106(5):1096-1101. PMID 8618046",true
세라마이드엔피,리놀레익애씨드,GOOD,함께 쓰면 좋아요,세라마이드와 지방산은 짝을 이뤄야 장벽이 제대로 채워져요.,"Man MQ, Feingold KR, Thornfeldt CR, Elias PM. J Invest Dermatol. 1996;106(5):1096-1101. PMID 8618046",true
세라마이드엔에스,리놀레익애씨드,GOOD,함께 쓰면 좋아요,세라마이드와 지방산은 짝을 이뤄야 장벽이 제대로 채워져요.,"Man MQ, Feingold KR, Thornfeldt CR, Elias PM. J Invest Dermatol. 1996;106(5):1096-1101. PMID 8618046",true
세라마이드에이피,리놀레익애씨드,GOOD,함께 쓰면 좋아요,세라마이드와 지방산은 짝을 이뤄야 장벽이 제대로 채워져요.,"Man MQ, Feingold KR, Thornfeldt CR, Elias PM. J Invest Dermatol. 1996;106(5):1096-1101. PMID 8618046",true
콜레스테롤,리놀레익애씨드,GOOD,함께 쓰면 좋아요,콜레스테롤과 지방산이 함께 있어야 장벽 회복이 빨라져요.,"Man MQ, Feingold KR, Thornfeldt CR, Elias PM. J Invest Dermatol. 1996;106(5):1096-1101. PMID 8618046",true
나이아신아마이드,세라마이드엔피,GOOD,함께 쓰면 좋아요,나이아신아마이드가 피부에서 세라마이드를 더 만들도록 도와줘요.,"Tanno O et al. Br J Dermatol. 2000;143(3):524-531. PMID 10971324",true
나이아신아마이드,세라마이드엔에스,GOOD,함께 쓰면 좋아요,나이아신아마이드가 피부에서 세라마이드를 더 만들도록 도와줘요.,"Tanno O et al. Br J Dermatol. 2000;143(3):524-531. PMID 10971324",true
나이아신아마이드,세라마이드에이피,GOOD,함께 쓰면 좋아요,나이아신아마이드가 피부에서 세라마이드를 더 만들도록 도와줘요.,"Tanno O et al. Br J Dermatol. 2000;143(3):524-531. PMID 10971324",true
나이아신아마이드,아스코빅애씨드,GOOD,함께 쓰면 좋아요,같이 쓰면 안 된다는 말은 1960년대 연구를 잘못 해석한 것으로 함께 써도 괜찮아요. 오히려 서로의 장점을 더해줘요.,Paula's Choice https://www.paulaschoice.com/expert-advice/skincare-advice/skin-care-myths/can-niacinamide-and-vitamin-c-be-used-together.html,true
나이아신아마이드,레티놀,GOOD,함께 쓰면 좋아요,나이아신아마이드가 피부를 진정시켜 레티놀에 적응하기가 수월해져요.,Paula's Choice https://www.paulaschoice-eu.com/retinol-with-vitamin-c-bha-aha-niacinamide,true
아스코빅애씨드,토코페롤,GOOD,함께 쓰면 좋아요,비타민E가 비타민C를 안정시켜 항산화 효과가 더 오래가요.,"Lin FH et al. J Invest Dermatol. 2005;125(4):826-832. doi:10.1111/j.0022-202X.2005.23768.x",true
아스코빅애씨드,페룰릭애씨드,GOOD,함께 쓰면 좋아요,페룰릭애씨드가 비타민C가 쉽게 변하는 것을 막아줘요.,"Lin FH et al. J Invest Dermatol. 2005;125(4):826-832. doi:10.1111/j.0022-202X.2005.23768.x",true
토코페롤,페룰릭애씨드,GOOD,함께 쓰면 좋아요,페룰릭애씨드가 비타민E와 함께 있을 때 항산화 효과가 더 오래 유지돼요.,"Lin FH et al. J Invest Dermatol. 2005;125(4):826-832. doi:10.1111/j.0022-202X.2005.23768.x",true
레티놀,세라마이드엔피,GOOD,함께 쓰면 좋아요,세라마이드가 장벽을 채워줘서 레티놀 때문에 생기는 건조함과 붉어짐을 줄여줘요.,"Draelos ZD et al. J Drugs Dermatol. 2023;22(6):554-558. doi:10.36849/JDD.7142",true
레티놀,세라마이드엔에스,GOOD,함께 쓰면 좋아요,세라마이드가 장벽을 채워줘서 레티놀 때문에 생기는 건조함과 붉어짐을 줄여줘요.,"Draelos ZD et al. J Drugs Dermatol. 2023;22(6):554-558. doi:10.36849/JDD.7142",true
레티놀,세라마이드에이피,GOOD,함께 쓰면 좋아요,세라마이드가 장벽을 채워줘서 레티놀 때문에 생기는 건조함과 붉어짐을 줄여줘요.,"Draelos ZD et al. J Drugs Dermatol. 2023;22(6):554-558. doi:10.36849/JDD.7142",true
마데카소사이드,판테놀,GOOD,함께 쓰면 좋아요,예민해진 피부를 달래는 데 함께 쓰인 조합이에요.,"Li W et al. Dermatol Ther. 2020;33(4):e13533. doi:10.1111/dth.13533",true
